"Tourisme en 2022"
"Commune de Metz (57463)"
"© Insee"


"TOU T1 - Nombre et capacité des hôtels au 1er janvier 2022"
"";"Hôtels";"Chambres";
"Ensemble";"26";"1585";
"1 étoile";"1";"55";
"2 étoiles";"4";"204";
"3 étoiles";"13";"711";
"4 étoiles";"4";"391";
"5 étoiles";"0";"0";
"Non classé";"4";"224";

"Source : Insee, partenaires territoriaux en géographie au 01/01/2022."


"TOU T2 - Nombre et capacité des campings au 1er janvier 2022"
"";"Terrains";"Emplacements";
"Ensemble";"1";"150";
"1 étoile";"0";"0";
"2 étoiles";"0";"0";
"3 étoiles";"1";"150";
"4 étoiles";"0";"0";
"5 étoiles";"0";"0";
"Non classé";"0";"0";

"Source : Insee, partenaires territoriaux en géographie au 01/01/2022."


"TOU T3 - Nombre d'autres hébergements collectifs au 1er janvier 2022"
"";"Hébergement";"Nombre de places lit (1)";
"Ensemble";"5";"510";
"Résidence de tourisme et hébergements assimilés";"3";"426";
"Village vacances - Maison familiale";"0";"0";
"Auberge de jeunesse - Centre sportif";"2";"84";

"(1) chambres, appartements, dortoirs..."
"Source :  Insee, partenaires territoriaux en géographie au 01/01/2022."
