"Tourisme en 2024"
"Commune de Metz (57463)"
"© Insee"


"TOU T1 - Nombre et capacité des hôtels au 1er janvier 2024"
"Nombre d'étoiles";"Hôtels";"Chambres";
"Ensemble";"27";"1664";
"1 étoile";"1";"55";
"2 étoiles";"4";"205";
"3 étoiles";"12";"681";
"4 étoiles";"5";"462";
"5 étoiles";"0";"0";
"Non classé";"5";"261";

"Source : Insee, partenaires territoriaux en géographie au 01/01/2024."


"TOU T2 - Nombre et capacité des campings au 1er janvier 2024"
"Nombre d'étoiles";"Terrains";"Emplacements";
"Ensemble";"1";"150";
"1 étoile";"0";"0";
"2 étoiles";"0";"0";
"3 étoiles";"1";"150";
"4 étoiles";"0";"0";
"5 étoiles";"0";"0";
"Non classé";"0";"0";

"Source : Insee, partenaires territoriaux en géographie au 01/01/2024."


"TOU T3 - Nombre d'autres hébergements collectifs au 1er janvier 2024"
"Type d'hébergement";"Hébergement";"Nombre de places lit (1)";
"Ensemble";"5";"623";
"Résidence de tourisme et hébergements assimilés";"3";"426";
"Village vacances - Maison familiale";"0";"0";
"Auberge de jeunesse - Centre sportif";"2";"197";

"(1) chambres, appartements, dortoirs..."
"Source :  Insee, partenaires territoriaux en géographie au 01/01/2024."
